Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
2,4,3000,100,0.6,2544.0,5932.72,1393.2205287031913
2,4,3500,100,0.6,2867.0,5932.0,1535.9761456481021
2,4,4000,100,0.6,2794.0,5940.87,1552.6040168375193
2,4,4500,100,0.6,2896.0,5838.01,1648.9274968597015
2,4,5000,100,0.6,2641.0,5924.24,1660.5447426672972
2,4,5500,100,0.6,2861.0,5873.14,1620.293226672259
2,4,6000,100,0.6,2764.0,6080.76,1476.203550463147
2,4,6500,100,0.6,2854.0,5871.25,1472.7707722181344
2,4,7000,100,0.6,2610.0,5911.69,1522.4213260132688
2,4,7500,100,0.6,2146.0,5884.71,1486.64603921041
2,4,8000,100,0.6,2260.0,5901.23,1724.475049718029
2,4,8500,100,0.6,2585.0,5559.03,1439.5403395181395
2,4,9000,100,0.6,2555.0,5816.46,1515.6593774328055
2,4,9500,100,0.6,1741.0,5580.7,1401.4398417342072
2,4,10000,100,0.6,3016.0,5664.24,1378.563107877184
3,0,0,10,0.9,4619.0,7150.4,1250.9302298689563
3,0,500,10,0.9,3275.0,6257.2,1712.130532406919
3,0,1000,10,0.9,3627.0,6499.2,2397.458521017621
3,0,1500,10,0.9,3350.0,5787.1,1592.55809627153
3,0,2000,10,0.9,3758.0,6698.2,1606.1390848864864
3,0,2500,10,0.9,3316.0,5863.3,1156.5218588509256
3,0,3000,10,0.9,4984.0,6120.5,1089.7714668681688
3,0,3500,10,0.9,2862.0,4815.3,1495.5701956110252
3,0,4000,10,0.9,2184.0,5327.0,1722.1018552919568
3,0,4500,10,0.9,2809.0,4291.9,999.7844217630119
3,0,5000,10,0.9,2955.0,5366.2,1403.6255768544545
3,0,5500,10,0.9,3101.0,5103.2,1584.9651605003814
3,0,6000,10,0.9,3698.0,4157.1,318.06648676023696
3,0,6500,10,0.9,2966.0,4247.8,835.5265166348702
3,0,7000,10,0.9,2055.0,4322.7,1180.4466993473275
3,0,7500,10,0.9,2183.0,3930.5,1032.085292018058
3,0,8000,10,0.9,2747.0,4686.9,1223.598418599828
3,0,8500,10,0.9,2751.0,3798.8,1084.4688838320812
3,0,9000,10,0.9,2437.0,3307.1,615.5443850771445
3,0,9500,10,0.9,1123.0,3526.9,1154.5324984598744
3,0,10000,10,0.9,2655.0,3855.8,954.6842200434654
3,1,0,10,0.9,5263.0,7068.5,1273.1150183702964
3,1,500,10,0.9,3652.0,5601.3,1224.45155477871
3,1,1000,10,0.9,3710.0,5592.9,1448.6148176792892
3,1,1500,10,0.9,3196.0,5419.7,1217.7181981066062
3,1,2000,10,0.9,4474.0,6313.5,1281.3854416216848
3,1,2500,10,0.9,3990.0,5773.4,1157.705074705989
3,1,3000,10,0.9,4392.0,5411.2,915.0304694380401
3,1,3500,10,0.9,2883.0,5482.7,1368.738400864095
3,1,4000,10,0.9,2931.0,5556.8,1288.9940108472188
3,1,4500,10,0.9,3077.0,4216.5,752.7365076837976
3,1,5000,10,0.9,3518.0,4568.7,982.224826605396
3,1,5500,10,0.9,3112.0,4902.1,1270.3119656210438
3,1,6000,10,0.9,2503.0,4359.4,1223.1408913121988
3,1,6500,10,0.9,2698.0,4438.3,1481.8635598461824
3,1,7000,10,0.9,2586.0,4443.5,936.5135610336885
3,1,7500,10,0.9,2456.0,4418.5,1159.6684224380692
3,1,8000,10,0.9,2764.0,4319.3,1010.7742626323644
3,1,8500,10,0.9,2533.0,4056.7,1093.9075875045387
3,1,9000,10,0.9,2164.0,3765.1,1126.5120904810565
3,1,9500,10,0.9,1997.0,3542.7,1196.5182029538873
3,1,10000,10,0.9,2035.0,3849.7,902.7952204126914
3,2,0,10,0.9,4323.0,7414.2,2102.3658482766505
3,2,500,10,0.9,3924.0,5819.6,1189.5279063561309
3,2,1000,10,0.9,4423.0,5883.2,1584.3688838146247
3,2,1500,10,0.9,2474.0,5089.7,2188.6207551789325
3,2,2000,10,0.9,3526.0,6116.0,1577.7155003358496
3,2,2500,10,0.9,3409.0,5718.7,1251.3005274513393
3,2,3000,10,0.9,4261.0,5921.4,846.4090264168973
3,2,3500,10,0.9,3800.0,4834.8,797.0497851451942
3,2,4000,10,0.9,3212.0,5459.6,1447.4168162626825
3,2,4500,10,0.9,2109.0,4575.7,1648.8413537996917
3,2,5000,10,0.9,2974.0,5025.8,1041.6413778263611
3,2,5500,10,0.9,3146.0,4651.7,930.4052934071258
3,2,6000,10,0.9,2346.0,3701.3,962.3051543039765
3,2,6500,10,0.9,2741.0,4174.2,766.8785823062215
3,2,7000,10,0.9,3090.0,4613.1,969.0858011548822
3,2,7500,10,0.9,2443.0,4568.7,1494.4784407946472
3,2,8000,10,0.9,2638.0,3898.4,813.4809401577888
3,2,8500,10,0.9,2105.0,3702.7,824.6292560902748
3,2,9000,10,0.9,1817.0,3686.3,1172.8036536436948
3,2,9500,10,0.9,1581.0,3700.4,1293.4982953216445
3,2,10000,10,0.9,1971.0,2944.7,615.4983428084921
3,3,0,10,0.9,4958.0,6263.6,732.8926524396326
3,3,500,10,0.9,2599.0,5397.6,1585.7009301882874
3,3,1000,10,0.9,3716.0,5807.1,1675.5624995803648
3,3,1500,10,0.9,3498.0,6086.8,1624.1010313401073
3,3,2000,10,0.9,3690.0,4940.5,991.1709489285892
3,3,2500,10,0.9,2572.0,5038.7,1123.814134988522
3,3,3000,10,0.9,3016.0,5131.1,1026.427050500911
3,3,3500,10,0.9,3215.0,5243.6,1478.0660472387558
3,3,4000,10,0.9,3347.0,4992.6,930.9011977648327
3,3,4500,10,0.9,3234.0,4868.9,1132.9130990504082
3,3,5000,10,0.9,2025.0,4727.0,1662.71759478271
3,3,5500,10,0.9,2731.0,4541.6,1032.2261573899395
3,3,6000,10,0.9,3026.0,4783.4,1313.4339115463708
3,3,6500,10,0.9,2658.0,4226.9,957.0870859018003
3,3,7000,10,0.9,3183.0,4022.9,609.4864149429419
3,3,7500,10,0.9,3164.0,4626.4,1107.4982799083707
3,3,8000,10,0.9,2819.0,3918.7,916.5718793417132
3,3,8500,10,0.9,2642.0,3843.3,637.5981571491561
3,3,9000,10,0.9,2038.0,3638.3,975.3017020389127
3,3,9500,10,0.9,2852.0,4179.1,990.8796546503515
3,3,10000,10,0.9,2512.0,3632.4,1078.582977800039
3,4,0,10,0.9,4009.0,5694.9,1129.5839455303887
3,4,500,10,0.9,4599.0,6620.5,1401.4402056456065
3,4,1000,10,0.9,3020.0,5328.9,1442.758985416483
3,4,1500,10,0.9,3589.0,5313.8,1066.6825957143953
3,4,2000,10,0.9,3574.0,5637.7,981.5921811017038
3,4,2500,10,0.9,3731.0,5266.0,1225.1582754893345
